code,n_rows_total,n_turbines_seen,first_seen,last_seen,years_seen,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,median_duration_s,share_rows_with_TimeOff,is_documented,description,stopping
3421,142,15,2016-07-22 14:21:59,2026-03-19 10:10:26,2016-2026,19,9,29,8,13,11,34,4,2,8,5,131.0,1.0,0,,
3422,57,13,2016-07-22 14:25:56,2026-02-17 19:52:43,2016;2017;2018;2019;2020;2021;2022;2026,12,4,17,3,3,4,13,0,0,0,1,24692.0,0.9825,0,,
3428,9,5,2023-03-15 03:32:43,2026-01-13 16:14:25,2023;2026,0,0,0,0,0,0,0,6,0,0,3,47.0,1.0,0,,
3429,13,4,2021-09-10 10:33:21,2023-06-01 13:24:11,2021-2023,0,0,0,0,0,1,11,1,0,0,0,600.0,1.0,0,,
3600,29,21,2024-03-14 09:01:28,2025-01-30 14:12:52,2024-2025,0,0,0,0,0,0,0,0,8,21,0,8.0,1.0,0,,
4101,2,2,2019-07-03 09:20:58,2019-07-05 08:43:42,2019,0,0,0,2,0,0,0,0,0,0,0,360.0,1.0,0,,
4103,32,18,2016-09-09 08:11:45,2025-05-13 14:03:34,2016;2018;2019;2023;2024;2025,9,0,7,3,0,0,0,4,7,2,0,1.5,1.0,0,,
4104,26,18,2016-09-09 08:11:45,2025-05-13 14:02:19,2016;2018;2019;2023;2024;2025,9,0,7,2,0,0,0,3,4,1,0,1531.0,1.0,0,,
4105,19,18,2016-09-09 08:06:00,2020-05-27 14:10:33,2016;2018;2019;2020,9,0,7,2,1,0,0,0,0,0,0,2.0,0.9474,0,,
4106,19,18,2016-09-09 08:05:59,2020-05-27 14:10:32,2016;2018;2019;2020,9,0,7,2,1,0,0,0,0,0,0,3675.5,0.9474,0,,
4107,21,18,2016-09-09 08:12:11,2025-05-13 14:03:36,2016;2018;2019;2024;2025,9,0,7,2,0,0,0,0,2,1,0,2.0,1.0,0,,
4108,20,18,2016-09-09 08:12:11,2025-05-13 14:03:36,2016;2018;2019;2024;2025,9,0,7,2,0,0,0,0,1,1,0,2133.5,1.0,0,,
4109,19,18,2016-09-07 10:20:08,2019-03-25 13:46:25,2016;2018;2019,10,0,7,2,0,0,0,0,0,0,0,1.0,1.0,0,,
4110,18,18,2016-09-09 08:07:53,2019-03-25 13:46:25,2016;2018;2019,9,0,7,2,0,0,0,0,0,0,0,3636.0,1.0,0,,
4111,428,21,2016-04-27 08:16:06,2026-02-26 12:16:23,2016-2026,15,113,40,25,44,44,30,66,5,43,3,493.5,1.0,0,,
4112,83,7,2016-02-16 17:14:47,2025-12-18 14:07:03,2016;2017;2018;2020;2021;2022;2023;2024;2025,5,15,2,0,36,5,1,7,1,11,0,981.5,0.988,0,,
4113,3,1,2024-04-18 16:54:10,2024-04-29 09:05:59,2024,0,0,0,0,0,0,0,0,3,0,0,4590.0,1.0,0,,
4121,89,18,2016-09-07 10:19:48,2025-05-13 14:03:31,2016;2018;2019;2020;2023;2024;2025,16,0,20,10,1,0,0,15,25,2,0,683.0,0.9888,0,,
4122,56,18,2016-09-07 10:19:58,2024-04-16 11:18:01,2016;2018;2019;2020;2023;2024,17,0,23,10,1,0,0,4,1,0,0,4634.0,0.9821,0,,
4123,6,2,2023-02-20 15:59:32,2024-04-16 14:45:27,2023-2024,0,0,0,0,0,0,0,4,2,0,0,61.5,1.0,0,,
4124,57,18,2016-09-07 10:20:28,2025-05-13 14:03:32,2016;2018;2019;2020;2023;2024;2025,19,0,20,10,1,0,0,4,2,1,0,4384.5,0.9825,0,,
4125,60,18,2016-09-07 10:20:09,2024-04-16 11:19:22,2016;2018;2019;2020;2023;2024,18,0,25,10,1,0,0,5,1,0,0,4330.0,0.9833,0,,
4141,1,1,2021-02-10 13:39:42,2021-02-10 13:39:42,2021,0,0,0,0,0,1,0,0,0,0,0,4077.0,1.0,0,,
4200,498,21,2016-06-28 11:23:13,2025-10-27 14:05:27,2016-2025,66,47,53,31,187,16,43,24,6,25,0,1215.0,0.998,0,,
