event_id,farm,turbine,start,duration_h,lost_energy_mwh,planned_charge_mwh_p50,planned_charge_mwh_p75,recoverable_mwh_p50,recoverable_mwh_p75,clipped_p50,clipped_p75,zero_energy
868,kelmarsh,K05,2023-02-21 15:48:51,0.030278,0.013524,0.183783,0.471126,0.0,0.0,True,True,False
869,kelmarsh,K05,2023-02-21 16:50:30,0.032778,0.0,0.0,0.0,0.0,0.0,False,False,True
870,kelmarsh,K05,2023-02-21 19:08:00,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
871,kelmarsh,K05,2023-02-21 21:11:39,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
872,kelmarsh,K05,2023-02-21 23:15:03,4.608333,1.297403,0.222857,0.571294,1.074546,0.726109,False,False,False
873,kelmarsh,K05,2023-02-22 09:38:11,0.030278,0.029227,0.218758,0.560785,0.0,0.0,True,True,False
874,kelmarsh,K05,2023-02-22 10:39:51,0.054722,0.010074,0.057592,0.147637,0.0,0.0,True,True,False
875,kelmarsh,K05,2023-02-24 10:13:18,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
876,kelmarsh,K05,2023-02-24 11:14:47,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
877,kelmarsh,K05,2023-02-24 12:41:47,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
878,kelmarsh,K05,2023-02-24 16:47:30,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
882,kelmarsh,K05,2023-03-12 11:48:28,0.03,0.077931,0.620132,1.589707,0.0,0.0,True,True,False
883,kelmarsh,K05,2023-03-13 19:07:25,0.03,0.0,0.0,0.0,0.0,0.0,False,False,True
884,kelmarsh,K05,2023-03-13 20:09:32,0.030278,0.168418,1.260624,3.231606,0.0,0.0,True,True,False
885,kelmarsh,K05,2023-03-13 22:18:40,0.030278,0.171836,1.192508,3.056991,0.0,0.0,True,True,False
886,kelmarsh,K05,2023-03-16 05:15:19,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
887,kelmarsh,K05,2023-03-16 07:34:25,0.030278,0.0,0.0,0.0,0.0,0.0,False,False,True
888,kelmarsh,K05,2023-03-16 09:39:28,0.030278,0.101985,0.853631,2.188281,0.0,0.0,True,True,False
