population,rule,hours_before_lo,hours_before_hi,n_warnings,n_anchors,rate_per_anchor_hour
events_all,any,16,17,369,4213,0.08758604319962023
events_all,any,17,18,325,4213,0.07714217896985522
events_all,any,18,19,321,4213,0.0761927367671493
events_all,any,19,20,408,4213,0.09684310467600285
events_all,any,20,21,338,4213,0.08022786612864942
events_all,any,21,22,317,4213,0.07524329456444338
events_all,any,22,23,368,4213,0.08734868264894374
events_all,any,23,24,640,4213,0.15191075243294563
events_all,any,24,25,473,4213,0.1122715404699739
events_all,any,25,26,457,4213,0.10847377165915024
events_all,any,26,27,542,4213,0.12864941846665084
events_all,any,27,28,515,4213,0.12224068359838595
events_all,any,28,29,526,4213,0.12485164965582721
events_all,any,29,30,468,4213,0.1110847377165915
events_all,any,30,31,341,4213,0.08093994778067885
events_all,any,31,32,360,4213,0.08544979824353192
events_all,any,32,33,329,4213,0.07809162117256112
events_all,any,33,34,329,4213,0.07809162117256112
events_all,any,34,35,346,4213,0.08212675053406124
events_all,any,35,36,411,4213,0.09755518632803228
events_all,any,36,37,299,4213,0.0709708046522668
events_all,any,37,38,252,4213,0.059814858770472344
events_all,any,38,39,307,4213,0.07286968905767861
events_all,any,39,40,355,4213,0.08426299549014954
events_all,any,40,41,338,4213,0.08022786612864942
events_all,any,41,42,311,4213,0.07381913126038453
events_all,any,42,43,274,4213,0.06503679088535486
events_all,any,43,44,264,4213,0.06266318537859007
events_all,any,44,45,337,4213,0.07999050557797294
events_all,any,45,46,326,4213,0.07737953952053168
events_all,any,46,47,385,4213,0.09138381201044386
events_all,any,47,48,334,4213,0.0792784239259435
events_all,any,48,49,295,4213,0.07002136244956088
events_all,any,49,50,330,4213,0.0783289817232376
events_all,any,50,51,426,4213,0.10111559458817944
events_all,any,51,52,287,4213,0.06812247804414906
events_all,any,52,53,333,4213,0.07904106337526703
events_all,any,53,54,244,4213,0.057915974365060525
events_all,any,54,55,265,4213,0.06290054592926655
events_all,any,55,56,341,4213,0.08093994778067885
events_all,any,56,57,222,4213,0.05269404225017802
events_all,any,57,58,224,4213,0.05316876335153098
events_all,any,58,59,209,4213,0.04960835509138381
events_all,any,59,60,232,4213,0.0550676477569428
events_all,any,60,61,201,4213,0.04770947068597199
events_all,any,61,62,182,4213,0.04319962022311892
events_all,any,62,63,294,4213,0.06978400189888441
events_all,any,63,64,287,4213,0.06812247804414906
events_all,any,64,65,317,4213,0.07524329456444338
events_all,any,65,66,508,4213,0.1205791597436506
events_all,any,66,67,440,4213,0.10443864229765012
events_all,any,67,68,387,4213,0.09185853311179681
events_all,any,68,69,389,4213,0.09233325421314978
events_all,any,69,70,442,4213,0.10491336339900309
events_all,any,70,71,322,4213,0.07643009731782578
events_all,any,71,72,359,4213,0.08521243769285544
controls_all,any,0,1,19,4180,0.004545454545454545
controls_all,any,1,2,17,4180,0.004066985645933014
controls_all,any,2,3,21,4180,0.005023923444976076
controls_all,any,3,4,13,4180,0.003110047846889952
controls_all,any,4,5,27,4180,0.00645933014354067
controls_all,any,5,6,43,4180,0.01028708133971292
controls_all,any,6,7,26,4180,0.006220095693779904
controls_all,any,7,8,25,4180,0.005980861244019139
controls_all,any,8,9,34,4180,0.008133971291866028
controls_all,any,9,10,28,4180,0.0066985645933014355
controls_all,any,10,11,33,4180,0.007894736842105263
controls_all,any,11,12,7,4180,0.0016746411483253589
controls_all,any,12,13,38,4180,0.00909090909090909
controls_all,any,13,14,25,4180,0.005980861244019139
controls_all,any,14,15,38,4180,0.00909090909090909
controls_all,any,15,16,15,4180,0.0035885167464114833
controls_all,any,16,17,11,4180,0.002631578947368421
controls_all,any,17,18,12,4180,0.0028708133971291866
controls_all,any,18,19,20,4180,0.004784688995215311
controls_all,any,19,20,12,4180,0.0028708133971291866
controls_all,any,20,21,22,4180,0.005263157894736842
controls_all,any,21,22,10,4180,0.0023923444976076554
controls_all,any,22,23,13,4180,0.003110047846889952
controls_all,any,23,24,18,4180,0.00430622009569378
controls_all,any,24,25,24,4180,0.005741626794258373
controls_all,any,25,26,16,4180,0.003827751196172249
controls_all,any,26,27,45,4180,0.01076555023923445
controls_all,any,27,28,65,4180,0.01555023923444976
controls_all,any,28,29,30,4180,0.007177033492822967
controls_all,any,29,30,33,4180,0.007894736842105263
controls_all,any,30,31,32,4180,0.007655502392344498
controls_all,any,31,32,33,4180,0.007894736842105263
controls_all,any,32,33,46,4180,0.011004784688995215
controls_all,any,33,34,48,4180,0.011483253588516746
controls_all,any,34,35,26,4180,0.006220095693779904
controls_all,any,35,36,20,4180,0.004784688995215311
controls_all,any,36,37,8,4180,0.0019138755980861245
controls_all,any,37,38,12,4180,0.0028708133971291866
controls_all,any,38,39,5,4180,0.0011961722488038277
controls_all,any,39,40,7,4180,0.0016746411483253589
controls_all,any,40,41,12,4180,0.0028708133971291866
controls_all,any,41,42,24,4180,0.005741626794258373
controls_all,any,42,43,40,4180,0.009569377990430622
controls_all,any,43,44,17,4180,0.004066985645933014
controls_all,any,44,45,33,4180,0.007894736842105263
controls_all,any,45,46,26,4180,0.006220095693779904
controls_all,any,46,47,29,4180,0.006937799043062201
controls_all,any,47,48,16,4180,0.003827751196172249
controls_all,any,48,49,24,4180,0.005741626794258373
controls_all,any,49,50,52,4180,0.012440191387559809
controls_all,any,50,51,81,4180,0.019377990430622008
controls_all,any,51,52,49,4180,0.011722488038277513
controls_all,any,52,53,92,4180,0.02200956937799043
controls_all,any,53,54,38,4180,0.00909090909090909
controls_all,any,54,55,35,4180,0.008373205741626795
controls_all,any,55,56,64,4180,0.015311004784688996
controls_all,any,56,57,27,4180,0.00645933014354067
controls_all,any,57,58,14,4180,0.0033492822966507177
controls_all,any,58,59,8,4180,0.0019138755980861245
controls_all,any,59,60,18,4180,0.00430622009569378
controls_all,any,60,61,8,4180,0.0019138755980861245
