population,tier,tier_variant,sub_pop,rule,lookback_h,T_act_h,weight,control_offset_d,n_events,E_mwh,unwarned,short_lead,actionable_unacted,warned,n_controls_matched,p_control_warned,p_control_actionable,excess_warned,excess_actionable,enrichment_warned_x
per_farm,T0,primary,kelmarsh,same,72,6,count,45,1202,2516.2846067996215,0.7371048252911814,0.06988352745424292,0.1930116472545757,0.2628951747088186,1201,0.010824313072439634,0.010824313072439634,0.25482921281590165,0.18418096662689007,24.28746960194547
per_farm,T0,primary,penmanshiel,same,72,6,energy,45,4848,9583.466045350706,0.8626322585783395,0.06952199180456853,0.06784574961709205,0.13736774142166058,4814,0.005322820009994392,0.005203671792661328,0.13275153393284136,0.06296975174537904,25.807324155942162
per_farm,T0,primary,penmanshiel,same,72,6,count,45,4848,9583.466045350706,0.8632425742574258,0.040635313531353134,0.09612211221122112,0.13675742574257427,4814,0.003739094308267553,0.0033236393851267137,0.13351756620616193,0.09310793000934107,36.57501375137514
per_farm,T1,primary,kelmarsh,same,72,6,energy,45,1181,2493.299854376065,0.9172488517070829,0.060116762386789376,0.022634385906127798,0.08275114829291717,1180,0.011821958345300499,0.011821958345300499,0.0717777434406922,0.01094178083811895,6.999783443308499
per_farm,T1,primary,kelmarsh,same,72,6,count,45,1181,2493.299854376065,0.7324301439458086,0.07112616426756986,0.1964436917866215,0.26756985605419137,1180,0.011016949152542373,0.011016949152542373,0.25941082274545485,0.18749233616813485,24.287110011072755
per_farm,T1,primary,penmanshiel,same,72,6,energy,45,3429,9214.888915778716,0.857137823616428,0.07230273245327876,0.07055944393029306,0.14286217638357185,3397,0.005541338903200882,0.005417299268061042,0.1380860189089392,0.06549696130275767,25.78116568561605
per_farm,T1,primary,penmanshiel,same,72,6,count,45,3429,9214.888915778716,0.8066491688538933,0.057451151939340916,0.13589967920676582,0.19335083114610674,3397,0.005298793052693553,0.0047100382690609364,0.18905379502909875,0.13181047331126397,36.48959852240692
per_farm,T2,primary,kelmarsh,same,72,6,energy,45,1077,2393.165493327394,0.9137863943954349,0.06263215616406895,0.023581449440496203,0.08621360560456516,1076,0.012322426886202408,0.012322426886202408,0.07481305714516737,0.01139949196051712,6.996479378676593
per_farm,T2,primary,kelmarsh,same,72,6,count,45,1077,2393.165493327394,0.7065923862581244,0.07799442896935933,0.21541318477251625,0.2934076137418756,1076,0.012081784386617101,0.012081784386617101,0.28476631456844603,0.20581804968506817,24.285122491250622
per_farm,T2,primary,penmanshiel,same,72,6,energy,45,3136,6993.336091648598,0.8117552097613173,0.09527093208917534,0.09297385814950743,0.1882447902386828,3104,0.007363349435083773,0.0071985251582637145,0.18222321400349079,0.08639726588330991,25.56510347611136
per_farm,T2,primary,penmanshiel,same,72,6,count,45,3136,6993.336091648598,0.7885841836734694,0.0628188775510204,0.1485969387755102,0.21141581632653061,3104,0.005798969072164949,0.005154639175257732,0.2068161678151494,0.14418552395051282,36.45748299319728
manual_only,manual,reported_separately,manual_only,same,72,6,energy,45,397,2321.6871851787873,1.0,0.0,0.0,0.0,397,0.0,0.0,0.0,0.0,
manual_only,manual,reported_separately,manual_only,same,72,6,count,45,397,2321.6871851787873,1.0,0.0,0.0,0.0,397,0.0,0.0,0.0,0.0,
